Timestamp,RangeMilliMeter
11353000,242
11364000,242
11375000,257
11385000,257
11396000,249
11407000,249
11418000,205
11429000,236
11440000,236
11451000,229
11462000,229
11473000,304
11484000,237
11495000,237
11506000,272
11517000,272
11528000,299
11539000,274
11551000,274
11563000,249
11574000,241
11584000,241
11596000,241
11607000,241
11618000,249
11629000,259
11641000,259
11653000,268
11663000,268
11674000,254
11685000,242
11696000,242
11707000,252
11718000,252
11729000,221
11740000,279
11752000,279
11763000,256
11773000,256
11784000,267
11795000,276
11806000,276
11818000,246
11829000,235
11840000,235
11851000,265
11862000,265
11873000,234
11884000,230
11895000,230
11906000,211
11917000,211
11927000,204
11938000,212
11949000,212
11961000,177
11973000,177
11983000,178
11995000,157
12006000,157
12017000,149
12028000,149
12038000,149
12049000,142
12061000,142
12072000,137
12083000,137
12094000,123
12106000,117
12118000,117
12130000,104
12141000,108
12152000,108
12162000,97
12173000,97
12184000,103
12195000,107
12206000,107
12216000,91
12227000,91
12239000,97
12250000,87
12262000,87
12272000,98
12283000,98
12294000,93
12306000,103
12316000,103
12328000,101
12338000,90
12350000,90
12360000,100
12371000,100
12382000,92
12394000,92
12405000,92
12416000,87
12427000,87
12439000,76
12450000,86
12461000,86
12472000,80
12482000,80
12493000,87
12504000,78
12515000,78
12527000,68
12539000,67
12550000,67
12562000,73
12573000,73
12583000,69
12595000,70
12606000,70
12617000,82
12627000,82
12639000,63
12650000,74
12661000,74
12673000,61
12685000,60
12697000,60
12708000,65
12719000,60
12730000,60
12740000,68
12752000,68
12762000,64
12773000,50
12783000,50
12794000,52
12806000,52
12817000,51
12827000,50
12837000,50
12849000,66
12860000,66
12871000,54
12882000,54
12893000,54
12904000,49
12914000,49
12925000,54
12936000,58
12947000,58
12957000,46
12968000,46
12979000,42
12989000,42
13000000,53
13011000,62
13022000,62
13033000,53
13045000,45
13055000,45
13066000,50
13078000,50
13089000,48
13101000,39
13112000,39
13123000,43
13135000,46
13146000,46
13157000,41
13168000,41
13179000,41
13190000,46
13200000,46
13211000,39
13223000,39
13235000,34
13246000,38
13257000,38
13268000,31
13280000,33
13290000,33
13302000,19
13313000,19
13324000,33
13336000,24
13347000,24
13359000,36
13369000,41
13380000,41
13391000,34
13403000,34
13415000,16
13427000,37
13437000,37
13449000,29
13460000,28
13471000,28
13482000,38
13492000,38
13503000,26
13513000,24
13524000,24
13535000,24
13546000,24
13556000,20
13567000,21
13579000,21
13591000,30
13602000,30
13614000,39
13626000,18
13638000,18
13650000,16
13662000,24
13674000,24
13686000,23
13697000,23
13709000,23
13720000,26
13731000,33
13742000,33
13753000,23
13764000,23
13776000,35
13787000,31
13798000,31
13810000,32
13822000,33
13833000,33
13844000,36
13854000,36
13865000,38
13877000,29
13889000,29
13900000,27
13912000,28
13922000,28
13934000,34
13945000,23
13956000,23
13967000,22
13979000,22
13991000,24
14002000,27
14013000,27
14024000,32
14035000,32
14046000,39
14058000,26
14068000,26
14079000,24
14091000,30
14102000,30
14113000,22
14124000,22
14135000,29
14146000,22
14158000,22
14168000,33
14178000,33
14190000,31
14201000,34
14213000,34
14224000,42
14235000,38
14245000,38
14256000,20
14267000,20
14277000,31
14288000,28
14298000,28
14309000,38
14320000,38
14331000,20
14343000,25
14354000,25
14366000,22
14377000,22
14388000,21
14398000,18
14410000,18
14420000,31
14431000,31
14443000,21
14454000,29
14466000,29
